Step(s),Voltage(V),Current_inv(A),SOC_true(%)
489,3.3973,0,99.3642
490,3.3972,0,99.3642
491,3.3972,0,99.3642
492,3.3972,0,99.3642
493,3.3971,0,99.3642
494,3.3971,0,99.3642
495,3.3971,0,99.3642
496,3.397,0,99.3642
497,3.397,0,99.3642
498,3.397,0,99.3642
499,3.397,0,99.3642
500,3.3969,0,99.3642
501,3.3969,0,99.3642
502,3.3969,0,99.3642
503,3.3969,0,99.3642
504,3.3969,0,99.3642
505,3.3968,0,99.3642
506,3.3968,0,99.3642
507,3.3968,0,99.3642
508,3.3967,0,99.3642
509,3.3967,0,99.3642
510,3.3967,0,99.3642
511,3.3967,0,99.3642
512,3.3967,0,99.3642
513,3.3966,0,99.3642
514,3.3966,0,99.3642
515,3.3965,0,99.3642
516,3.3965,0,99.3642
517,3.3965,0,99.3642
518,3.3965,0,99.3642
519,3.3965,0,99.3642
520,3.3964,0,99.3642
521,3.3964,0,99.3642
522,3.3964,0,99.3642
523,3.3964,0,99.3642
524,3.3963,0,99.3642
525,3.3963,0,99.3642
526,3.3963,0,99.3642
527,3.3963,0,99.3642
528,3.3963,0,99.3642
529,3.3962,0,99.3642
530,3.3962,0,99.3642
531,3.3962,0,99.3642
532,3.3962,0,99.3642
533,3.3962,0,99.641
534,3.356,-149.6868,99.6398
535,3.3542,-149.7975,99.6385
536,3.3529,-149.866,99.6373
537,3.3519,-149.9091,99.636
538,3.3511,-149.9506,99.6348
539,3.3503,-149.9899,99.6335
540,3.3495,-150.0172,99.6323
541,3.3489,-150.0437,99.631
542,3.3483,-150.0789,99.6298
543,3.3477,-150.0957,99.6285
544,3.3472,-150.126,99.6273
545,3.3467,-150.1489,99.626
546,3.3462,-150.1714,99.6248
547,3.3458,-150.1869,99.6236
548,3.3453,-150.216,99.6223
549,3.3449,-150.2282,99.6211
550,3.3445,-150.2555,99.6198
551,3.3441,-150.2692,99.6186
552,3.3437,-150.2873,99.6173
553,3.3433,-150.3071,99.6161
554,3.3429,-150.3184,99.6148
555,3.3426,-150.333,99.6136
556,3.3422,-150.3565,99.6123
557,3.3419,-150.3739,99.6111
558,3.3415,-150.3844,99.6098
559,3.3412,-150.3991,99.6086
560,3.3409,-150.4121,99.6073
561,3.3406,-150.4251,99.6061
562,3.3402,-150.4376,99.6048
563,3.34,-150.4567,99.6036
564,3.3396,-150.4647,99.6023
565,3.3393,-150.4788,99.6011
566,3.339,-150.4943,99.5998
567,3.3388,-150.5057,99.5986
568,3.3385,-150.5231,99.5973
569,3.3382,-150.5306,99.5961
570,3.3379,-150.5442,99.5948
571,3.3377,-150.553,99.5936
572,3.3374,-150.5711,99.5923
573,3.3371,-150.5799,99.5911
574,3.3368,-150.5951,99.5898
